x坐标, y坐标
524,0.00102
524.5,0.00095
525,0.00128
525.5,0.00079
526,0.00069
526.5,0.00053
527,0.00057
527.5,0.00037
528,0.00045
528.5,0.00053
529,0.00075
529.5,0.00054
530,0.00042
530.5,0.00043
531,0.00028
531.5,0.00028
532,0.00049
532.5,0.0007
533,0.00074
533.5,0.00104
534,0.00111
534.5,0.0009
535,0.00083
535.5,0.00086
536,0.00107
536.5,0.00061
537,0.00075
537.5,0.00098
538,0.00126
538.5,0.00139
539,0.00128
539.5,0.00068
540,0.00072
540.5,0.00086
541,0.00081
541.5,0.00085
542,0.0011
542.5,0.001
543,0.00108
543.5,0.00065
544,0.00033
544.5,6.00E-05
545,0.00011
545.5,0.00026
546,0.00028
546.5,0.00031
547,9.00E-05
547.5,-0.00012
548,-0.0001
548.5,0.00035
549,0.00012
549.5,-0.00013
550,-0.00026
550.5,-0.00018
551,0.00018
551.5,0.00037
552,0.00068
552.5,0.00089
553,0.00127
553.5,0.00104
554,0.00135
554.5,0.00134
555,0.00165
555.5,0.00157
556,0.00197
556.5,0.00203
557,0.00191
557.5,0.00178
558,0.00167
558.5,0.00184
559,0.00166
559.5,0.00179
560,0.00172
560.5,0.00185
561,0.00182
561.5,0.00166
562,0.00147
562.5,0.00142
563,0.00133
563.5,0.00126
564,0.0017
564.5,0.00165
565,0.0016
565.5,0.00159
566,0.00095
566.5,0.00064
567,0.00056
567.5,0.00061
568,0.00071
568.5,0.00079
569,0.00102
569.5,0.00082
570,0.00056
570.5,0.00055
571,0.00046
571.5,0.00038
572,0.00068
572.5,0.00095
573,0.00117
573.5,0.0012
574,0.00112
574.5,0.00128
575,0.00129
575.5,0.00093
576,0.00084
576.5,0.0009
577,0.00105
577.5,0.00131
578,0.00111
578.5,0.00077
579,0.00048
579.5,0.00067
580,0.00093
580.5,0.00087
581,0.00091
581.5,0.00098
582,0.00085
582.5,0.0004
583,0.0005
583.5,0.00087
584,0.00096
584.5,0.00066
585,0.00073
585.5,0.00052
586,0.00048
586.5,0.00071
587,0.00085
587.5,0.00069
588,0.00052
588.5,0.00026
589,-0.00029
589.5,-0.00062
590,-0.0005
590.5,0.0001
591,8.00E-05
591.5,4.00E-05
592,0
592.5,-0.00032
593,-0.00025
593.5,-0.00035
594,-0.00031
594.5,-0.00042
595,-0.00052
595.5,-0.00066
596,-0.0008
596.5,-0.00051
597,-0.00023
