姓名,赛季,球队,执教,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负,胜率
Scott Skiles,09--10,MIL,7,0.424,33.7,79.6,0.309,6.6,21.3,0.8059999999999999,16.0,19.9,39.1,11.1,28.0,16.3,6.3,3.3,11.3,21.0,90.0,3,4,0.429
Scott Skiles,06--07,CHI,10,0.43,32.5,75.6,0.355,5.9,16.6,0.7290000000000001,21.5,29.5,41.9,11.6,30.3,20.6,7.0,4.2,14.3,22.1,92.4,6,4,0.6
Scott Skiles,05--06,CHI,6,0.445,34.0,76.3,0.395,7.8,19.8,0.742,22.5,30.3,39.3,8.8,30.5,18.3,5.7,3.8,15.3,25.8,98.3,2,4,0.33299999999999996
Scott Skiles,04--05,CHI,6,0.419,35.5,84.7,0.388,9.0,23.2,0.722,22.5,31.2,44.5,14.2,30.3,21.7,6.3,5.0,14.7,29.2,102.5,2,4,0.33299999999999996
Scott Skiles,00--01,PHO,4,0.38,34.0,89.5,0.25,4.3,17.0,0.7140000000000001,16.3,22.8,44.3,13.5,30.8,21.3,9.8,5.8,12.5,23.5,88.5,1,3,0.25
Scott Skiles,99--00,PHO,9,0.407,33.4,82.2,0.278,4.7,16.8,0.7,15.8,22.6,44.9,13.9,31.0,21.0,8.1,6.2,14.9,27.4,87.3,4,5,0.444
Jerry Sloan,09--10,UTA,10,0.479,38.1,79.5,0.374,6.5,17.4,0.728,24.4,33.5,39.6,10.9,28.7,23.8,5.9,4.4,12.8,27.0,107.1,4,6,0.4
Jerry Sloan,08--09,UTA,5,0.4320000000000001,35.0,81.0,0.342,5.0,14.6,0.742,22.4,30.2,42.6,13.2,29.4,25.4,9.8,3.4,14.0,23.8,97.4,1,4,0.2
Jerry Sloan,07--08,UTA,12,0.445,36.4,81.8,0.35,5.8,16.7,0.75,20.3,27.0,44.3,14.5,29.8,21.4,6.5,5.8,12.5,25.5,98.9,6,6,0.5
Jerry Sloan,06--07,UTA,17,0.459,36.4,79.4,0.341,4.3,12.6,0.7490000000000001,20.8,27.7,44.2,13.0,31.2,22.2,7.4,4.8,15.4,24.6,97.9,9,8,0.529
Jerry Sloan,02--03,UTA,5,0.434,33.8,77.8,0.265,1.8,6.8,0.787,23.6,30.0,39.2,14.0,25.2,21.0,7.2,5.6,15.4,24.8,93.0,1,4,0.2
