姓名,赛季,球队,执教,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负,胜率
Kaleb Canales,11--12,POR,23,0.44,36.3,82.4,0.375,8.6,23.0,0.813,16.3,20.0,38.9,11.4,27.5,19.5,7.1,4.1,13.2,16.7,97.4,8,15,0.348
 Carlesimo,12--13,BKN,53,0.455,36.3,79.9,0.365,7.7,21.2,0.731,17.6,24.0,43.5,12.9,30.6,20.3,7.5,4.7,14.2,18.2,97.9,34,19,0.642
 Carlesimo,08--09,OKC,13,0.404,33.9,83.9,0.359,2.8,7.9,0.767,18.2,23.8,44.7,12.2,32.5,16.7,6.9,4.4,16.4,22.1,88.9,1,12,0.077
 Carlesimo,07--08,SEA,82,0.444,38.1,85.8,0.333,3.8,11.5,0.77,17.5,22.8,44.6,11.8,32.8,21.3,6.5,4.9,15.2,20.5,97.5,20,62,0.244
 Carlesimo,99--00,GSW,27,0.416,37.3,89.7,0.332,4.4,13.1,0.6859999999999999,16.1,23.6,46.8,16.6,30.2,22.7,7.9,3.9,14.6,24.7,95.1,6,21,0.222
 Carlesimo,98--99,GSW,50,0.415,34.6,83.5,0.287,3.2,11.3,0.6759999999999999,15.9,23.5,47.5,16.3,31.2,20.7,8.3,4.4,14.6,25.4,88.3,21,29,0.42
 Carlesimo,97--98,GSW,82,0.413,34.7,84.0,0.272,2.3,8.5,0.71,16.6,23.3,45.9,15.7,30.2,20.8,7.6,5.5,16.0,22.7,88.3,19,63,0.23199999999999998
 Carlesimo,96--97,POR,82,0.464,36.6,78.8,0.358,6.1,17.1,0.713,19.7,27.6,43.3,12.9,30.4,20.9,7.8,5.3,16.0,23.5,99.0,49,33,0.598
 Carlesimo,95--96,POR,82,0.458,37.4,81.6,0.353,5.9,16.6,0.662,18.7,28.3,45.6,14.1,31.4,21.5,7.2,5.1,16.2,22.7,99.3,44,38,0.537
 Carlesimo,94--95,POR,82,0.451,39.2,87.0,0.365,5.6,15.4,0.6970000000000001,19.0,27.2,46.3,16.5,29.8,22.5,8.1,5.7,14.4,24.7,103.1,44,38,0.537
Rick Carlisle,16--17,DAL,82,0.44,36.2,82.3,0.355,10.7,30.1,0.8009999999999999,14.8,18.5,38.6,7.9,30.7,20.8,7.5,3.7,11.2,19.1,97.9,33,49,0.402
Rick Carlisle,15--16,DAL,82,0.444,37.4,84.2,0.344,9.8,28.5,0.794,17.7,22.3,43.1,9.2,33.9,22.1,6.8,3.7,12.3,19.5,102.3,42,40,0.512
Rick Carlisle,14--15,DAL,82,0.463,39.7,85.8,0.35200000000000004,8.9,25.4,0.752,16.9,22.5,42.3,10.5,31.8,22.5,8.1,4.5,12.5,20.1,105.2,50,32,0.61
Rick Carlisle,13--14,DAL,82,0.474,39.6,83.6,0.384,8.8,22.9,0.795,16.8,21.1,40.9,10.2,30.7,23.6,8.6,4.3,13.2,20.0,104.8,49,33,0.598
Rick Carlisle,12--13,DAL,82,0.462,38.8,84.0,0.3720000000000001,7.4,19.9,0.7929999999999999,16.1,20.4,41.9,9.4,32.5,23.3,7.9,5.5,13.5,20.7,101.1,41,41,0.5
Rick Carlisle,11--12,DAL,66,0.443,36.3,82.0,0.339,7.5,22.2,0.7709999999999999,15.6,20.2,42.8,10.1,32.7,20.9,8.6,5.1,13.5,18.6,95.8,36,30,0.545
Rick Carlisle,10--11,DAL,82,0.475,37.4,78.8,0.365,7.9,21.6,0.777,17.5,22.6,41.4,9.5,31.9,23.8,6.8,4.3,13.5,19.2,100.2,57,25,0.695
Rick Carlisle,09--01,DAL,82,0.464,38.3,82.4,0.3720000000000001,6.8,18.3,0.816,18.6,22.8,41.7,10.2,31.5,23.4,7.6,5.5,12.4,19.1,102.0,55,27,0.6709999999999999
Rick Carlisle,08--09,DAL,82,0.462,38.1,82.6,0.35,7.0,19.9,0.8190000000000001,18.5,22.6,42.7,11.1,31.6,21.7,7.2,5.2,12.2,19.5,101.7,50,32,0.61
Rick Carlisle,06--07,IND,82,0.438,35.0,80.0,0.34600000000000003,5.9,16.9,0.76,19.7,25.9,41.8,12.1,29.8,20.5,7.3,5.5,15.9,23.3,95.6,35,47,0.42700000000000005
Rick Carlisle,05--06,IND,82,0.444,34.0,76.5,0.349,6.5,18.7,0.737,19.4,26.3,42.2,11.0,31.2,19.9,7.3,5.0,14.7,22.2,93.9,41,41,0.5
Rick Carlisle,04--05,IND,82,0.4320000000000001,32.5,75.2,0.344,6.6,19.2,0.792,21.3,26.9,40.1,10.6,29.5,18.2,7.5,4.4,13.4,23.0,93.0,44,38,0.537
