姓名,赛季,球队,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
Isaac Austin,99--00,WAS,40.0,1.0,7.0,16.0,1.0,1.0,1.0,1.0,7.0,8.0,13.0,4.0,11.0,4.0,2.0,3.0,6.0,5.0,20.0
Isaac Austin,98--99,ORL,39.0,1.0,9.0,16.0,1.0,1.0,1.0,1.0,8.0,10.0,10.0,5.0,9.0,6.0,4.0,3.0,6.0,6.0,23.0
Isaac Austin,97--98,TOT,43.0,1.0,12.0,29.0,0.0,0.0,1.0,1.0,9.0,12.0,22.0,10.0,12.0,6.0,5.0,4.0,8.0,6.0,33.0
Isaac Austin,97--98,LAC,42.0,1.0,10.0,22.0,0.0,0.0,1.0,1.0,9.0,12.0,15.0,7.0,10.0,6.0,3.0,3.0,7.0,5.0,24.0
Isaac Austin,97--98,MIA,43.0,1.0,12.0,29.0,0.0,0.0,1.0,1.0,9.0,11.0,22.0,10.0,12.0,6.0,5.0,4.0,8.0,6.0,33.0
Isaac Austin,96--97,MIA,43.0,1.0,9.0,20.0,0.0,0.0,1.0,1.0,8.0,13.0,15.0,7.0,12.0,4.0,2.0,2.0,8.0,6.0,26.0
Isaac Austin,93--94,PHI,24.0,1.0,4.0,9.0,0.0,0.0,1.0,1.0,6.0,9.0,11.0,7.0,8.0,5.0,2.0,3.0,4.0,5.0,10.0
Isaac Austin,92--93,UTA,27.0,1.0,4.0,8.0,0.0,0.0,1.0,1.0,3.0,6.0,9.0,3.0,7.0,2.0,2.0,2.0,2.0,6.0,8.0
Isaac Austin,91--92,UTA,14.0,1.0,3.0,6.0,,0.0,0.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,7.0
James Augustine,07--08,ORL,18.0,1.0,3.0,4.0,,0.0,0.0,1.0,2.0,4.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,8.0
James Augustine,06--07,ORL,5.0,1.0,1.0,2.0,,0.0,0.0,,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0
 Augustin,16--17,ORL,34.0,0.8,7.0,14.0,1.0,4.0,8.0,1.0,8.0,12.0,5.0,1.0,5.0,8.0,2.0,1.0,4.0,4.0,21.0
 Augustin,15--16,TOT,36.0,1.0,8.0,14.0,1.0,5.0,8.0,1.0,9.0,9.0,6.0,1.0,6.0,10.0,3.0,1.0,6.0,5.0,26.0
 Augustin,15--16,DEN,36.0,0.727,8.0,14.0,1.0,5.0,8.0,1.0,9.0,9.0,6.0,1.0,6.0,10.0,3.0,1.0,4.0,5.0,26.0
 Augustin,15--16,OKC,28.0,1.0,5.0,9.0,1.0,4.0,6.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,3.0,1.0,6.0,4.0,14.0
 Augustin,14--15,TOT,41.0,0.8,12.0,20.0,1.0,5.0,10.0,1.0,11.0,13.0,9.0,2.0,7.0,13.0,2.0,1.0,5.0,4.0,35.0
